name,betweenness_centrality,degree_centrality,eigenvector_centrality
Buckingham,0.2264562834249246,0.21428571428571427,0.12232958324001253
Norfolk,0.15881797902703826,0.26190476190476186,0.300241533764166
Abergavenny,0.009290264516745358,0.07142857142857142,0.05305190189311667
Wolsey,0.22797055506114744,0.3571428571428571,0.35292116606747087
Secretary,0.0,0.023809523809523808,0.04202548934431087
Brandon,0.0005807200929152149,0.07142857142857142,0.022944706010279488
Sergeant,0.0,0.047619047619047616,0.017299478821558818
Katharine,0.21950067289788547,0.26190476190476186,0.1924507591089214
KingHenry,0.24842945801133953,0.40476190476190477,0.3723391034823273
Surrey,0.016333443946684362,0.16666666666666666,0.24870347899490045
Chamberlain,0.2428612908578065,0.3571428571428571,0.3502366655197944
Sandys,0.005897074276865217,0.09523809523809523,0.11673717247835774
Lovell,0.07917066802084223,0.19047619047619047,0.20739713125883824
Guildford,0.0,0.023809523809523808,0.04170553988351875
Anne,0.00038714672861014324,0.07142857142857142,0.06978260878314547
Servant,0.0,0.047619047619047616,0.08373102922782956
1Gentleman,0.023228803716608595,0.07142857142857142,0.017086565319741988
2Gentleman,0.023228803716608595,0.07142857142857142,0.017086565319741988
Vaux,0.0,0.047619047619047616,0.03926369702638131
Suffolk,0.001718194052688826,0.16666666666666666,0.2568276923594575
Campeius,0.0,0.07142857142857142,0.10928035700391922
Gardiner,0.06869927078986313,0.23809523809523808,0.26880461475119455
OldLady,0.006747414412919638,0.09523809523809523,0.1190493667200249
Scribe,0.0025390372951348563,0.07142857142857142,0.0963099851140092
Crier,0.010627177700348432,0.09523809523809523,0.0835296728708571
Griffith,0.0017421602787456446,0.09523809523809523,0.040359582425557095
Lincoln,0.0,0.023809523809523808,0.04433768358597802
Gentlewoman,0.0,0.023809523809523808,0.022917184073630456
Cromwell,0.008055082096893944,0.14285714285714285,0.1963467778990605
3Gentleman,0.0,0.047619047619047616,0.004069563083851182
Patience,0.0,0.07142857142857142,0.0314712267702887
Messenger,0.0,0.07142857142857142,0.0314712267702887
Capuchius,0.0,0.023809523809523808,0.022917184073630456
Boy,0.0,0.023809523809523808,0.03200869158354773
Denny,0.0,0.023809523809523808,0.04433768358597802
Cranmer,0.06728057076489131,0.23809523809523808,0.2635463871234432
Keeper,0.0028820224813256175,0.09523809523809523,0.11261574867123098
Butts,0.0,0.047619047619047616,0.0757202390157645
Chancellor,0.002608170639529524,0.09523809523809523,0.11313695297675393
One,0.0,0.047619047619047616,0.005824984581495678
Porter,0.09291521486643438,0.07142857142857142,0.043092763841176523
Man,0.0,0.047619047619047616,0.005824984581495678
Garter,0.0,0.023809523809523808,0.03138255542978653
